"requirement_id","parent_requirement_id","exact_constitution_part","exact_constitution_section","verified_exact_line_range","source_wording","source_digest_sha256","source_summary","source_modality","requirement_type","delivery_target","classification","responsible_layer","dependencies","atomic_acceptance_criteria","related_phase_0_document","evidence_requirement","owner_approval_state","implementation_status","predecessor_requirement_id","atomicity_review","modality_resolution"
"REQ-009.05","REQ-009","Part 1","Phase 6","L253; L263","Include: || Authorization","e2f61b829799de9e422eb614f16eb71d5e46467431d7decc4f0ee888b7c1bb67","The Technical Blueprint includes Authorization.","MUST","Deliverable","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13 contains a separately reviewable section that demonstrates “The Technical Blueprint includes Authorization”, cites L253; L263, and records reviewer approval for REQ-009.05; FAIL if the section, citation, or approval is missing.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Versioned document section, exact source citation, review checklist, and approval record.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-002.51","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-009.06","REQ-009","Part 1","Phase 6","L253; L257","Include: || Database Design","3a62237cff3d5e88640df128ebba1e4da8619f54592474b2232dca8deac378f7","The Technical Blueprint includes Database Design.","MUST","Deliverable","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13 contains a separately reviewable section that demonstrates “The Technical Blueprint includes Database Design”, cites L253; L257, and records reviewer approval for REQ-009.06; FAIL if the section, citation, or approval is missing.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Versioned document section, exact source citation, review checklist, and approval record.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-002.48","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-009.07","REQ-009","Part 1","Phase 6","L253; L285","Include: || Deployment","859da32db6f519cf3c44331a488f4acd3515dcbc762e64d4ca3f3b0f89529659","The Technical Blueprint includes Deployment.","MUST","Deliverable","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13 contains a separately reviewable section that demonstrates “The Technical Blueprint includes Deployment”, cites L253; L285, and records reviewer approval for REQ-009.07; FAIL if the section, citation, or approval is missing.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Versioned document section, exact source citation, review checklist, and approval record.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-002.62","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-009.08","REQ-009","Part 1","Phase 6","L253; L281","Include: || Logging","0c99d69853b78fdd336e3d48453951f933e2564c79a7ce45e3134c8815034e1e","The Technical Blueprint includes Logging.","MUST","Deliverable","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13 contains a separately reviewable section that demonstrates “The Technical Blueprint includes Logging”, cites L253; L281, and records reviewer approval for REQ-009.08; FAIL if the section, citation, or approval is missing.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Versioned document section, exact source citation, review checklist, and approval record.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-002.60","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-009.09","REQ-009","Part 1","Phase 6","L253; L283","Include: || Security","4555dd622e6ea3c3757b68818804edfc728172c65773fbccbae012d9e5d02ef9","The Technical Blueprint includes Security.","MUST","Deliverable","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13 contains a separately reviewable section that demonstrates “The Technical Blueprint includes Security”, cites L253; L283, and records reviewer approval for REQ-009.09; FAIL if the section, citation, or approval is missing.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Versioned document section, exact source citation, review checklist, and approval record.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-002.61","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-009.10","REQ-009","Part 1","Phase 6","L253; L255","Include: || System Architecture","2b9c6665f2f4e41c557d26b5800d245429d53d21f69d9aa5c159ab3fa63ebf79","The Technical Blueprint includes System Architecture.","MUST","Deliverable","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13 contains a separately reviewable section that demonstrates “The Technical Blueprint includes System Architecture”, cites L253; L255, and records reviewer approval for REQ-009.10; FAIL if the section, citation, or approval is missing.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Versioned document section, exact source citation, review checklist, and approval record.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-002.47","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-009.11","REQ-009","Part 1","Phase 6","L253; L277","Include: || Admin ERP","3f908ab228d52f0be6774af6d674f297d13a42dd967ea7a01cdf81c68ecb4246","The Technical Blueprint includes the Admin ERP.","MUST","Deliverable","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13 contains a separately reviewable section that demonstrates “The Technical Blueprint includes the Admin ERP”, cites L253; L277, and records reviewer approval for REQ-009.11; FAIL if the section, citation, or approval is missing.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Versioned document section, exact source citation, review checklist, and approval record.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-002.58","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-009.12","REQ-009","Part 1","Phase 6","L253; L275","Include: || CMS","42693c044749f82f6db287e48b9718be1487e7ccb815ee55aa13c39e51a67bce","The Technical Blueprint includes the CMS.","MUST","Deliverable","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13 contains a separately reviewable section that demonstrates “The Technical Blueprint includes the CMS”, cites L253; L275, and records reviewer approval for REQ-009.12; FAIL if the section, citation, or approval is missing.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Versioned document section, exact source citation, review checklist, and approval record.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-002.57","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-009.13","REQ-009","Part 1","Phase 6","L253; L271","Include: || Notification Engine","540b5bc8e66ff8fd9d19694ae54d82e5ccd2919f3ba6ba973a23e1d95fa07c5a","The Technical Blueprint includes the Notification Engine.","MUST","Deliverable","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13 contains a separately reviewable section that demonstrates “The Technical Blueprint includes the Notification Engine”, cites L253; L271, and records reviewer approval for REQ-009.13; FAIL if the section, citation, or approval is missing.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Versioned document section, exact source citation, review checklist, and approval record.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-002.55","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-009.14","REQ-009","Part 1","Phase 6","L253; L273","Include: || Payment Engine","679c0ec7a1da28545141464d8ca18914833f67ae8d4169fc303a790bc02bf478","The Technical Blueprint includes the Payment Engine.","MUST","Deliverable","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13 contains a separately reviewable section that demonstrates “The Technical Blueprint includes the Payment Engine”, cites L253; L273, and records reviewer approval for REQ-009.14; FAIL if the section, citation, or approval is missing.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Versioned document section, exact source citation, review checklist, and approval record.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-002.56","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-009.15","REQ-009","Part 1","Phase 6","L253; L267","Include: || Rewards Engine","e50e470634bf5dffca8f3c500e29b1aa74ea77f0551c9433d4c2d80d086c94ac","The Technical Blueprint includes the Rewards Engine.","MUST","Deliverable","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13 contains a separately reviewable section that demonstrates “The Technical Blueprint includes the Rewards Engine”, cites L253; L267, and records reviewer approval for REQ-009.15; FAIL if the section, citation, or approval is missing.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Versioned document section, exact source citation, review checklist, and approval record.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-002.53","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-009.16","REQ-009","Part 1","Phase 6","L253; L269","Include: || Survey Engine","f854783d70a66f8e067d5845fce5b3970e7405bab042a1b49fd944ef51da5078","The Technical Blueprint includes the Survey Engine.","MUST","Deliverable","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13 contains a separately reviewable section that demonstrates “The Technical Blueprint includes the Survey Engine”, cites L253; L269, and records reviewer approval for REQ-009.16; FAIL if the section, citation, or approval is missing.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Versioned document section, exact source citation, review checklist, and approval record.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-002.54","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-009.17","REQ-009","Part 1","Phase 6","L253; L265","Include: || Wallet Engine","cf910070ee6ff8c80cd68d269321dc02d21a3a0f828295d38afd07a38f015403","The Technical Blueprint includes the Wallet Engine.","MUST","Deliverable","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13 contains a separately reviewable section that demonstrates “The Technical Blueprint includes the Wallet Engine”, cites L253; L265, and records reviewer approval for REQ-009.17; FAIL if the section, citation, or approval is missing.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Versioned document section, exact source citation, review checklist, and approval record.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-002.52","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-010.01","REQ-010","Part 1","Phase 7","L289; L293","Phase 7 || Find bottlenecks.","25d41e1a5f12f61fd39930d4b2a9f9d9546116d9a4ce94b739dfdd309b250d5c","Phase 7 identifies technical bottlenecks.","MUST","Process","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when a dated audit record linked to REQ-010.01 identifies the responsible reviewer, evidence reviewed, and outcome proving “Phase 7 identifies technical bottlenecks”; FAIL if the gate is bypassed or the audit record is incomplete.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Dated gate/audit record naming reviewer, inputs, outcome, and approval state.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-002.64","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-010.02","REQ-010","Part 1","Phase 7","L289; L297","Phase 7 || Improve maintainability.","c8faae0435bb2f044fe8fc81d00474bae9478e5d36dca3280552d4119718c242","Phase 7 improves maintainability.","MUST","Process","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when a dated audit record linked to REQ-010.02 identifies the responsible reviewer, evidence reviewed, and outcome proving “Phase 7 improves maintainability”; FAIL if the gate is bypassed or the audit record is incomplete.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Dated gate/audit record naming reviewer, inputs, outcome, and approval state.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-002.66","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-010.03","REQ-010","Part 1","Phase 7","L289; L295","Phase 7 || Improve scalability.","51f248e73716462e38415dd7bcc3ff62b6642c347897b195c83d271a2b893161","Phase 7 improves scalability.","MUST","Process","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when a dated audit record linked to REQ-010.03 identifies the responsible reviewer, evidence reviewed, and outcome proving “Phase 7 improves scalability”; FAIL if the gate is bypassed or the audit record is incomplete.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Dated gate/audit record naming reviewer, inputs, outcome, and approval state.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-002.65","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-010.04","REQ-010","Part 1","Phase 7","L289; L299","Phase 7 || Improve security.","70707fffdbb20a15d2008c422862348f880fa10be6e4a40e7d78ea40fe7cca7a","Phase 7 improves security.","MUST","Process","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when a dated audit record linked to REQ-010.04 identifies the responsible reviewer, evidence reviewed, and outcome proving “Phase 7 improves security”; FAIL if the gate is bypassed or the audit record is incomplete.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Dated gate/audit record naming reviewer, inputs, outcome, and approval state.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-002.67","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-010.05","REQ-010","Part 1","Phase 7","L289; L291","Phase 7 || Review the Technical Blueprint.","40ee9f765b34cdf321d2776e6adf85f74d9372963c950d816fa69e5b95b50481","Phase 7 reviews the Technical Blueprint.","MUST","Process","Pre-implementation deliverable","CD","Shared governance","None directly identified","PASS when a dated audit record linked to REQ-010.05 identifies the responsible reviewer, evidence reviewed, and outcome proving “Phase 7 reviews the Technical Blueprint”; FAIL if the gate is bypassed or the audit record is incomplete.","EP-P0-02; EP-P0-04; EP-P0-06; EP-P0-13","Dated gate/audit record naming reviewer, inputs, outcome, and approval state.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-002.63","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-011.01","REQ-011","Part 1","BUSINESS SUMMARY","L305–L313","BUSINESS SUMMARY / Brand Name: / EarnPearls / Tagline: / Your Time. Your Rewards.","2f1301df4c7a49ee0fa8af3596927a77c24a2372b59f48b08fb8c4fc8a4a2d8e","The public brand name is EarnPearls.","MUST","Functional","V1","CBR","Shared","None directly identified","PASS when an automated positive-path test linked to REQ-011.01 demonstrates “The public brand name is EarnPearls” and an applicable negative/disabled-path test prevents the contrary behavior; FAIL on any unmet assertion.","EP-P0-02; EP-P0-04","Linked automated acceptance-test result and relevant audit/event evidence.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-003.01","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-011.02","REQ-011","Part 1","BUSINESS SUMMARY","L311–L313","Tagline: / Your Time. Your Rewards.","9cdb5d73892686eda4dac8ebed55e5459800514460db5970326fae05217b3126","The public tagline is “Your Time. Your Rewards.”","MUST","Functional","V1","CBR","Shared","None directly identified","PASS when an automated positive-path test linked to REQ-011.02 demonstrates “The public tagline is “Your Time. Your Rewards.”” and an applicable negative/disabled-path test prevents the contrary behavior; FAIL on any unmet assertion.","EP-P0-02; EP-P0-04","Linked automated acceptance-test result and relevant audit/event evidence.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-003.02","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-011.03","REQ-011","Part 1","BUSINESS SUMMARY","L315; L319","Brand Personality: || Clean","08cfd62535f2317fc73c89ea5eb1b3cc5d7300f8c57dd20ccb31e829d31acffd","The EarnPearls brand personality is clean.","SHOULD","Identity","V1","REC","Shared","None directly identified","PASS when an automated positive-path test linked to REQ-011.03 demonstrates “The EarnPearls brand personality is clean” and an applicable negative/disabled-path test prevents the contrary behavior; FAIL on any unmet assertion.","EP-P0-02; EP-P0-04","Linked automated acceptance-test result and relevant audit/event evidence.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-003.03","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-011.04","REQ-011","Part 1","BUSINESS SUMMARY","L315; L333","Brand Personality: || Fast","64289833541047c90ea291e5ff89066a48a625f250368c9819bcd324f743d25c","The EarnPearls brand personality is fast.","SHOULD","Identity","V1","REC","Shared","None directly identified","PASS when an automated positive-path test linked to REQ-011.04 demonstrates “The EarnPearls brand personality is fast” and an applicable negative/disabled-path test prevents the contrary behavior; FAIL on any unmet assertion.","EP-P0-02; EP-P0-04","Linked automated acceptance-test result and relevant audit/event evidence.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-003.03","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-011.05","REQ-011","Part 1","BUSINESS SUMMARY","L315; L323","Brand Personality: || Friendly","0af996044794ce916e426988e440d1ae45f4068020e911d8df2f17f60a2152f0","The EarnPearls brand personality is friendly.","SHOULD","Identity","V1","REC","Shared","None directly identified","PASS when an automated positive-path test linked to REQ-011.05 demonstrates “The EarnPearls brand personality is friendly” and an applicable negative/disabled-path test prevents the contrary behavior; FAIL on any unmet assertion.","EP-P0-02; EP-P0-04","Linked automated acceptance-test result and relevant audit/event evidence.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-003.03","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-011.06","REQ-011","Part 1","BUSINESS SUMMARY","L315; L317","Brand Personality: || Modern","78694d721a5c0230a04e7c7545db73b1dcf4f07ee04405f984f2b4f85817fe79","The EarnPearls brand personality is modern.","SHOULD","Identity","V1","REC","Shared","None directly identified","PASS when an automated positive-path test linked to REQ-011.06 demonstrates “The EarnPearls brand personality is modern” and an applicable negative/disabled-path test prevents the contrary behavior; FAIL on any unmet assertion.","EP-P0-02; EP-P0-04","Linked automated acceptance-test result and relevant audit/event evidence.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-003.03","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-011.07","REQ-011","Part 1","BUSINESS SUMMARY","L315; L321","Brand Personality: || Premium","db740976dbfad243c674d91de883edb8fe0b25ce844f370e80a6f8e5dab4a058","The EarnPearls brand personality is premium.","SHOULD","Identity","V1","REC","Shared","None directly identified","PASS when an automated positive-path test linked to REQ-011.07 demonstrates “The EarnPearls brand personality is premium” and an applicable negative/disabled-path test prevents the contrary behavior; FAIL on any unmet assertion.","EP-P0-02; EP-P0-04","Linked automated acceptance-test result and relevant audit/event evidence.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-003.03","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-011.08","REQ-011","Part 1","BUSINESS SUMMARY","L315; L325","Brand Personality: || Professional","28b9c2c3a371f10d3aef25abc39ccd08d28046a2cca2298c3d00f4397f2e60f5","The EarnPearls brand personality is professional.","SHOULD","Identity","V1","REC","Shared","None directly identified","PASS when an automated positive-path test linked to REQ-011.08 demonstrates “The EarnPearls brand personality is professional” and an applicable negative/disabled-path test prevents the contrary behavior; FAIL on any unmet assertion.","EP-P0-02; EP-P0-04","Linked automated acceptance-test result and relevant audit/event evidence.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-003.03","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-011.09","REQ-011","Part 1","BUSINESS SUMMARY","L315; L331","Brand Personality: || Simple","c59bddb526be33c1d5ab20c8c7466136b5fbd11cae25f61704a507bd7086483b","The EarnPearls brand personality is simple.","SHOULD","Identity","V1","REC","Shared","None directly identified","PASS when an automated positive-path test linked to REQ-011.09 demonstrates “The EarnPearls brand personality is simple” and an applicable negative/disabled-path test prevents the contrary behavior; FAIL on any unmet assertion.","EP-P0-02; EP-P0-04","Linked automated acceptance-test result and relevant audit/event evidence.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-003.03","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-011.10","REQ-011","Part 1","BUSINESS SUMMARY","L315; L327","Brand Personality: || Transparent","0aaa49bb1e247edd81dd677ef7f3dce450f2236baae4df4752e5f526644affc4","The EarnPearls brand personality is transparent.","SHOULD","Identity","V1","REC","Shared","None directly identified","PASS when an automated positive-path test linked to REQ-011.10 demonstrates “The EarnPearls brand personality is transparent” and an applicable negative/disabled-path test prevents the contrary behavior; FAIL on any unmet assertion.","EP-P0-02; EP-P0-04","Linked automated acceptance-test result and relevant audit/event evidence.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-003.03","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-011.11","REQ-011","Part 1","BUSINESS SUMMARY","L315; L329","Brand Personality: || Trustworthy","d3fe4dd179f2a79318caeb2873bd60701b13e52792301faacc437b1a1b599021","The EarnPearls brand personality is trustworthy.","SHOULD","Identity","V1","REC","Shared","None directly identified","PASS when an automated positive-path test linked to REQ-011.11 demonstrates “The EarnPearls brand personality is trustworthy” and an applicable negative/disabled-path test prevents the contrary behavior; FAIL on any unmet assertion.","EP-P0-02; EP-P0-04","Linked automated acceptance-test result and relevant audit/event evidence.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-003.03","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-012.01","REQ-012","Part 1","TARGET COUNTRIES","L339; L349","Primary launch markets include: || Australia","35f35749b5b1505e0378af439ffb6b899488ea83761c8e51a703cc09ed474686","Australia is a primary launch market.","MUST","Functional","V1","CBR","Shared","None directly identified","PASS when an automated positive-path test linked to REQ-012.01 demonstrates “Australia is a primary launch market” and an applicable negative/disabled-path test prevents the contrary behavior; FAIL on any unmet assertion.","EP-P0-02; EP-P0-04","Linked automated acceptance-test result and relevant audit/event evidence.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-003.08","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-012.02","REQ-012","Part 1","TARGET COUNTRIES","L339; L365","Primary launch markets include: || Bahrain","664071465190291e0532d712ebad7cd69cc5208883ed11450cb2e0af58958aac","Bahrain is a primary launch market.","MUST","Functional","V1","CBR","Shared","None directly identified","PASS when an automated positive-path test linked to REQ-012.02 demonstrates “Bahrain is a primary launch market” and an applicable negative/disabled-path test prevents the contrary behavior; FAIL on any unmet assertion.","EP-P0-02; EP-P0-04","Linked automated acceptance-test result and relevant audit/event evidence.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-003.16","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-012.03","REQ-012","Part 1","TARGET COUNTRIES","L339; L353","Primary launch markets include: || Belgium","6d075ddc48b27157b6f0fdfbc09ff0710c6cfdec6a3071a3b09b68722fe3bb51","Belgium is a primary launch market.","MUST","Functional","V1","CBR","Shared","None directly identified","PASS when an automated positive-path test linked to REQ-012.03 demonstrates “Belgium is a primary launch market” and an applicable negative/disabled-path test prevents the contrary behavior; FAIL on any unmet assertion.","EP-P0-02; EP-P0-04","Linked automated acceptance-test result and relevant audit/event evidence.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-003.10","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-012.04","REQ-012","Part 1","TARGET COUNTRIES","L339; L345","Primary launch markets include: || Canada","64dd323b3023fd3c8d87ea57eb636fae0321c70c98830ac46ed3b5c089d45522","Canada is a primary launch market.","MUST","Functional","V1","CBR","Shared","None directly identified","PASS when an automated positive-path test linked to REQ-012.04 demonstrates “Canada is a primary launch market” and an applicable negative/disabled-path test prevents the contrary behavior; FAIL on any unmet assertion.","EP-P0-02; EP-P0-04","Linked automated acceptance-test result and relevant audit/event evidence.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-003.06","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-012.05","REQ-012","Part 1","TARGET COUNTRIES","L339; L351","Primary launch markets include: || Germany","a37435763f8d64962ebed120b98cc71af36b83bc47a50da80994bdca46a1a1e9","Germany is a primary launch market.","MUST","Functional","V1","CBR","Shared","None directly identified","PASS when an automated positive-path test linked to REQ-012.05 demonstrates “Germany is a primary launch market” and an applicable negative/disabled-path test prevents the contrary behavior; FAIL on any unmet assertion.","EP-P0-02; EP-P0-04","Linked automated acceptance-test result and relevant audit/event evidence.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-003.09","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-012.06","REQ-012","Part 1","TARGET COUNTRIES","L339; L347","Primary launch markets include: || Ireland","526192c752d3e3526b70137f9ef841078f955db353eef6ef8b7989ac26d49919","Ireland is a primary launch market.","MUST","Functional","V1","CBR","Shared","None directly identified","PASS when an automated positive-path test linked to REQ-012.06 demonstrates “Ireland is a primary launch market” and an applicable negative/disabled-path test prevents the contrary behavior; FAIL on any unmet assertion.","EP-P0-02; EP-P0-04","Linked automated acceptance-test result and relevant audit/event evidence.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-003.07","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-012.07","REQ-012","Part 1","TARGET COUNTRIES","L339; L363","Primary launch markets include: || Oman","dc8b9d07449824596086832535627c4826a02ccf5ac7aa28ae15d899147fa379","Oman is a primary launch market.","MUST","Functional","V1","CBR","Shared","None directly identified","PASS when an automated positive-path test linked to REQ-012.07 demonstrates “Oman is a primary launch market” and an applicable negative/disabled-path test prevents the contrary behavior; FAIL on any unmet assertion.","EP-P0-02; EP-P0-04","Linked automated acceptance-test result and relevant audit/event evidence.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-003.15","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-012.08","REQ-012","Part 1","TARGET COUNTRIES","L339; L361","Primary launch markets include: || Qatar","1c0f3dcf1e0b6a02118ff5bea800a8c61f9aded2f07a4bd2eaf245530c681014","Qatar is a primary launch market.","MUST","Functional","V1","CBR","Shared","None directly identified","PASS when an automated positive-path test linked to REQ-012.08 demonstrates “Qatar is a primary launch market” and an applicable negative/disabled-path test prevents the contrary behavior; FAIL on any unmet assertion.","EP-P0-02; EP-P0-04","Linked automated acceptance-test result and relevant audit/event evidence.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-003.14","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
"REQ-012.09","REQ-012","Part 1","TARGET COUNTRIES","L339; L357","Primary launch markets include: || Saudi Arabia","0b16c4833401b4fbf16d942dc673f70ffdf196afb0440a0560a5cdce92ad5578","Saudi Arabia is a primary launch market.","MUST","Functional","V1","CBR","Shared","None directly identified","PASS when an automated positive-path test linked to REQ-012.09 demonstrates “Saudi Arabia is a primary launch market” and an applicable negative/disabled-path test prevents the contrary behavior; FAIL on any unmet assertion.","EP-P0-02; EP-P0-04","Linked automated acceptance-test result and relevant audit/event evidence.","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started","REQ-003.12","Reviewed — one independently verifiable clause","Single-modality clause or imperative reviewed in canonical context."
