"parent_requirement_id","counted_in_formal_req_total","exact_constitution_part","exact_constitution_section","section_source_span","atomic_child_count","owner_approval_state","implementation_status"
"REQ-188","No — structural container only","Part 10","PHASE 2 — USER PLATFORM","L4955–L4972","6","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-189","No — structural container only","Part 10","PHASE 3 — REWARDS ENGINE","L4973–L4988","5","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-190","No — structural container only","Part 10","PHASE 4 — SURVEY SYSTEM","L4989–L5002","4","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-191","No — structural container only","Part 10","PHASE 5 — WITHDRAWAL SYSTEM","L5003–L5016","4","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-192","No — structural container only","Part 10","PHASE 6 — ADMIN ERP","L5017–L5036","7","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-193","No — structural container only","Part 10","PHASE 7 — GROWTH SYSTEM","L5037–L5052","5","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-194","No — structural container only","Part 10","PHASE 8 — OPTIMIZATION","L5053–L5066","4","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-195","No — structural container only","Part 10","CODE QUALITY REQUIREMENTS","L5067–L5094","10","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-196","No — structural container only","Part 10","BUSINESS RULE CONFIGURATION","L5095–L5116","2","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-197","No — structural container only","Part 10","TESTING REQUIREMENTS","L5117–L5142","5","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-198","No — structural container only","Part 10","DOCUMENTATION REQUIREMENTS","L5143–L5188","16","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-199","No — structural container only","Part 10","SUPER ADMIN PRINCIPLE","L5189–L5224","14","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-200","No — structural container only","Part 10","SECURITY PRINCIPLE","L5225–L5246","7","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-201","No — structural container only","Part 10","AI SELF-REVIEW RULE","L5247–L5270","9","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-202","No — structural container only","Part 10","COMMUNICATION STYLE","L5271–L5292","7","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-203","No — structural container only","Part 10","FINAL PROJECT VISION","L5293–L5310","6","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
"REQ-204","No — structural container only","Part 10","FINAL COMMAND TO AI","L5311–L5337","2","Approved for Phase 0 derivation by owner instruction 2026-07-21","Not started"
