"requirement_id","parent_requirement_id","exact_constitution_part","exact_constitution_section","verified_exact_line_range","source_wording","source_digest_sha256","source_summary","source_modality","requirement_type","delivery_target","classification","responsible_layer","dependencies","atomic_acceptance_criteria","related_phase_0_document","evidence_requirement","owner_approval_state","implementation_status"
"REQ-027.06","REQ-027","Part 3","System Settings","L1289; L1299","The following should be configurable from the admin panel whenever appropriate: || Registration controls","3e7c72d9776374add1236bcfc4b84f52ee89224bbefd82a01b8955915e813a11","Registration controls are configurable from the admin panel.","SHOULD","Business Rule","V1","CBR","Backend/Admin ERP","None stated by the Constitution","An acceptance test confirms this statement: “Registration controls are configurable from the admin panel.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Passing business-rule test using controlled fixtures and expected outcomes.","Pending independent review","Not started"
"REQ-027.07","REQ-027","Part 3","System Settings","L1289; L1301","The following should be configurable from the admin panel whenever appropriate: || Email templates","aadb1b8e29cc214c0de01d5abe61e06aef922bf9167b7852418602b9188c8c2b","Email templates are configurable from the admin panel.","SHOULD","Business Rule","V1","CBR","Backend/Admin ERP","None stated by the Constitution","An acceptance test confirms this statement: “Email templates are configurable from the admin panel.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Passing business-rule test using controlled fixtures and expected outcomes.","Pending independent review","Not started"
"REQ-027.08","REQ-027","Part 3","System Settings","L1289; L1303","The following should be configurable from the admin panel whenever appropriate: || Platform announcements","ffb7135b1bb1bcdf846651de4bd6c67d86d9aff43ba8a761ad73912c9c89cf86","Platform announcements are configurable from the admin panel.","SHOULD","Business Rule","V1","CBR","Backend/Admin ERP","None stated by the Constitution","An acceptance test confirms this statement: “Platform announcements are configurable from the admin panel.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Passing business-rule test using controlled fixtures and expected outcomes.","Pending independent review","Not started"
"REQ-027.09","REQ-027","Part 3","System Settings","L1289; L1305","The following should be configurable from the admin panel whenever appropriate: || Maintenance mode","320b85e2ef1d7c3af7a3d3b15999a92502b9872a645f8575576bfd93a85e49bc","Maintenance mode is configurable from the admin panel.","SHOULD","Business Rule","V1","CBR","Backend/Admin ERP","None stated by the Constitution","An acceptance test confirms this statement: “Maintenance mode is configurable from the admin panel.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Passing business-rule test using controlled fixtures and expected outcomes.","Pending independent review","Not started"
"REQ-027.10","REQ-027","Part 3","System Settings","L1289; L1307","The following should be configurable from the admin panel whenever appropriate: || Feature flags","4bebd65d8c77aea3de937d55f23113e48afe30f4bba4b1f9fafdd221f859e255","Feature flags are configurable from the admin panel.","SHOULD","Business Rule","V1","CBR","Backend/Admin ERP","None stated by the Constitution","An acceptance test confirms this statement: “Feature flags are configurable from the admin panel.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Passing business-rule test using controlled fixtures and expected outcomes.","Pending independent review","Not started"
"REQ-027.11","REQ-027","Part 3","System Settings","L1289; L1309","The following should be configurable from the admin panel whenever appropriate: || Currency display preferences","68519226125f040144a70bd17cedf3daccd00cd2643784eb3de6b6ee9e3a244c","Currency-display preferences are configurable from the admin panel.","SHOULD","Business Rule","V1","CBR","Backend/Admin ERP","None stated by the Constitution","An acceptance test confirms this statement: “Currency-display preferences are configurable from the admin panel.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Passing business-rule test using controlled fixtures and expected outcomes.","Pending independent review","Not started"
"REQ-027.12","REQ-027","Part 3","System Settings","L1289; L1311","The following should be configurable from the admin panel whenever appropriate: || Country availability","564582cd68fc9da0fd8e372155ae4c1ba5058761b9fc39364b30b5c2c235069e","Country availability is configurable from the admin panel.","SHOULD","Business Rule","V1","CBR","Backend/Admin ERP","ODR-003; EFE-003","An acceptance test confirms this statement: “Country availability is configurable from the admin panel.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Passing business-rule test using controlled fixtures and expected outcomes.","Pending independent review","Not started"
"REQ-027.13","REQ-027","Part 3","System Settings","L1289; L1313","The following should be configurable from the admin panel whenever appropriate: || Referral settings (future)","792967c30656c299f54d3dc9f49e079c9f35a486798ffc876ed812d9cfc83aad","Future referral settings are configurable from the admin panel.","SHOULD","Business Rule","Future","FRR","Backend/Admin ERP","None stated by the Constitution","An acceptance test confirms this statement: “Future referral settings are configurable from the admin panel.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Passing business-rule test using controlled fixtures and expected outcomes.","Pending independent review","Not started"
"REQ-027.14","REQ-027","Part 3","System Settings","L1289; L1315","The following should be configurable from the admin panel whenever appropriate: || Reward campaigns (future)","ffd66c3aea2cbc72e8983508ed7fcb9a10a0688c5a33efc19404e511303860ff","Future reward campaigns are configurable from the admin panel.","SHOULD","Business Rule","Future","FRR","Backend/Admin ERP","None stated by the Constitution","An acceptance test confirms this statement: “Future reward campaigns are configurable from the admin panel.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Passing business-rule test using controlled fixtures and expected outcomes.","Pending independent review","Not started"
"REQ-028.01","REQ-028","Part 3","Content Management System","L1321; L1323","The CMS should manage: || Homepage","7340999cc71ebb530b1475f6d438368f1d51e7a52592a6528dbbe1269d55f27d","The CMS manages homepage content.","SHOULD","Functional","V1","CBR","Backend/Admin ERP","None stated by the Constitution","An acceptance test confirms this statement: “The CMS manages homepage content.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Passing functional test and relevant audit/event record where applicable.","Pending independent review","Not started"
"REQ-028.02","REQ-028","Part 3","Content Management System","L1321; L1325","The CMS should manage: || About Page","f5486193408caab2c806fe5016157c3d6edd5ea6a3b64739a647bd5105cc0a99","The CMS manages the About page.","SHOULD","Functional","V1","CBR","Backend/Admin ERP","None stated by the Constitution","An acceptance test confirms this statement: “The CMS manages the About page.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Passing functional test and relevant audit/event record where applicable.","Pending independent review","Not started"
"REQ-028.03","REQ-028","Part 3","Content Management System","L1321; L1327","The CMS should manage: || Contact Page","568a59c0f4c4d8161f589c6559d0113e3fecb3e501afc984cea218565ec9af1d","The CMS manages the Contact page.","SHOULD","Functional","V1","CBR","Backend/Admin ERP","None stated by the Constitution","An acceptance test confirms this statement: “The CMS manages the Contact page.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Passing functional test and relevant audit/event record where applicable.","Pending independent review","Not started"
"REQ-028.04","REQ-028","Part 3","Content Management System","L1321; L1329","The CMS should manage: || FAQ","d0a855add10d4be5e6a3974c97e6fde54391a08f1e26abe19c176115c244565f","The CMS manages FAQs.","SHOULD","Functional","V1","CBR","Backend/Admin ERP","None stated by the Constitution","An acceptance test confirms this statement: “The CMS manages FAQs.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Passing functional test and relevant audit/event record where applicable.","Pending independent review","Not started"
"REQ-028.05","REQ-028","Part 3","Content Management System","L1321; L1331","The CMS should manage: || Privacy Policy","ca67acfc7a2a13afd852893542475c025aace28d3ddfdc43238314916d0cfd29","The CMS manages the Privacy Policy.","SHOULD","Functional","V1","CBR","Backend/Admin ERP","None stated by the Constitution","An acceptance test confirms this statement: “The CMS manages the Privacy Policy.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Passing functional test and relevant audit/event record where applicable.","Pending independent review","Not started"
"REQ-028.06","REQ-028","Part 3","Content Management System","L1321; L1333","The CMS should manage: || Terms of Service","4941304b1f3b1cf9e6323aa7fbb4554846fa3afec5bfe067595c8c8994d867f0","The CMS manages the Terms of Service.","SHOULD","Functional","V1","CBR","Backend/Admin ERP","None stated by the Constitution","An acceptance test confirms this statement: “The CMS manages the Terms of Service.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Passing functional test and relevant audit/event record where applicable.","Pending independent review","Not started"
"REQ-028.07","REQ-028","Part 3","Content Management System","L1321; L1335","The CMS should manage: || Cookie Policy","04fe752a0f77c6dafa5d68e6af97c9df3cb0db125f83a3ba6b29752758f0c005","The CMS manages the Cookie Policy.","SHOULD","Functional","V1","CBR","Backend/Admin ERP","None stated by the Constitution","An acceptance test confirms this statement: “The CMS manages the Cookie Policy.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Passing functional test and relevant audit/event record where applicable.","Pending independent review","Not started"
"REQ-028.08","REQ-028","Part 3","Content Management System","L1321; L1337","The CMS should manage: || Blog","73ad21db5575f1fc692ca70fe4074858cb8195fb15b7e258293b5fa968564eb3","The CMS manages the blog.","SHOULD","Functional","V1","CBR","Backend/Admin ERP","None stated by the Constitution","An acceptance test confirms this statement: “The CMS manages the blog.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Passing functional test and relevant audit/event record where applicable.","Pending independent review","Not started"
"REQ-028.09","REQ-028","Part 3","Content Management System","L1321; L1339","The CMS should manage: || Guides","bf50d191993eb4a1f522b7b42e04987f4e3eea1887cf2256d99232d47c87d227","The CMS manages guides.","SHOULD","Functional","V1","CBR","Backend/Admin ERP","None stated by the Constitution","An acceptance test confirms this statement: “The CMS manages guides.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Passing functional test and relevant audit/event record where applicable.","Pending independent review","Not started"
"REQ-028.10","REQ-028","Part 3","Content Management System","L1321; L1341","The CMS should manage: || Announcements","60aad581796c0498ef0db4390c4d3ed2c7a2aee84913693f7e49cf8a4f9d42df","The CMS manages announcements.","SHOULD","Functional","V1","CBR","Backend/Admin ERP","None stated by the Constitution","An acceptance test confirms this statement: “The CMS manages announcements.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Passing functional test and relevant audit/event record where applicable.","Pending independent review","Not started"
"REQ-028.11","REQ-028","Part 3","Content Management System","L1321; L1343","The CMS should manage: || Banner Messages","8085052908d6e03c08f57b1e7df7b71aaedb2605814316224fe62c1eca1e0056","The CMS manages banner messages.","SHOULD","Functional","V1","CBR","Backend/Admin ERP","None stated by the Constitution","An acceptance test confirms this statement: “The CMS manages banner messages.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Passing functional test and relevant audit/event record where applicable.","Pending independent review","Not started"
"REQ-028.12","REQ-028","Part 3","Content Management System","L1321; L1345","The CMS should manage: || Footer Links","796a002ebb14cd062e121f46834113087ce5746e2ce6bd40beb3b0afef2a0076","The CMS manages footer links.","SHOULD","Functional","V1","CBR","Backend/Admin ERP","None stated by the Constitution","An acceptance test confirms this statement: “The CMS manages footer links.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Passing functional test and relevant audit/event record where applicable.","Pending independent review","Not started"
"REQ-028.13","REQ-028","Part 3","Content Management System","L1347","Support versioning and draft publishing where practical.","cc15da06d5792e375765b4ad9516d7d67f04d8fd2c52ec42333be7a324058126","The CMS supports content versioning where practical.","SHOULD","Functional","V1","CBR","Backend/Admin ERP","None stated by the Constitution","An acceptance test confirms this statement: “The CMS supports content versioning where practical.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Passing functional test and relevant audit/event record where applicable.","Pending independent review","Not started"
"REQ-028.14","REQ-028","Part 3","Content Management System","L1347","Support versioning and draft publishing where practical.","cc15da06d5792e375765b4ad9516d7d67f04d8fd2c52ec42333be7a324058126","The CMS supports draft publishing where practical.","SHOULD","Functional","V1","CBR","Backend/Admin ERP","None stated by the Constitution","An acceptance test confirms this statement: “The CMS supports draft publishing where practical.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Passing functional test and relevant audit/event record where applicable.","Pending independent review","Not started"
"REQ-029.01","REQ-029","Part 3","Provider Integration Framework","L1351–L1353","PROVIDER INTEGRATION FRAMEWORK / The platform must use a modular provider architecture.","363a225766432830e98ac212b54a85f4eebe12030976f8dfa535730b4066c6b0","The platform uses a modular provider architecture.","MUST","API","V1","CD","Backend","None stated by the Constitution","Contract and integration tests confirm this statement: “The platform uses a modular provider architecture.”","API Architecture & Integration deliverable (identifier pending ODR-001)","Versioned API contract plus passing contract/integration tests.","Pending independent review","Not started"
"REQ-029.02","REQ-029","Part 3","Provider Integration Framework","L1355","Every provider should behave like a plugin.","d483545f3c743501614a8a42616953bb6913aa2068fb632ec932924e9bc7cc3f","Each provider behaves like a plugin.","SHOULD","API","V1","REC","Backend","None stated by the Constitution","Contract and integration tests confirm this statement: “Each provider behaves like a plugin.”","API Architecture & Integration deliverable (identifier pending ODR-001)","Versioned API contract plus passing contract/integration tests.","Pending independent review","Not started"
"REQ-029.03","REQ-029","Part 3","Provider Integration Framework","L1357","Adding or removing a provider should require minimal changes.","bd21662959835885df5104f4590e14d8efc7df75370eb5ddc56a45369a7bf78c","Adding or removing a provider requires minimal changes.","SHOULD","Non-functional","V1","REC","Backend","None stated by the Constitution","A defined measurement or design review confirms this statement: “Adding or removing a provider requires minimal changes.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Defined metric/standard plus measured result or documented review.","Pending independent review","Not started"
"REQ-029.04","REQ-029","Part 3","Provider Integration Framework","L1359","The system should abstract provider-specific logic behind a common interface where feasible.","e36a9e94ad69caac2c9f0dd1ea710b7ed468c31b76933d99cd9b0a97867d763e","Provider-specific logic is abstracted behind a common interface where feasible.","SHOULD","API","V1","REC","Backend","None stated by the Constitution","Contract and integration tests confirm this statement: “Provider-specific logic is abstracted behind a common interface where feasible.”","API Architecture & Integration deliverable (identifier pending ODR-001)","Versioned API contract plus passing contract/integration tests.","Pending independent review","Not started"
"REQ-029.05","REQ-029","Part 3","Provider Integration Framework","L1361","The platform should support independent provider configuration, health monitoring, logging, and error reporting.","62756895e2d2fea97d0df2f7a85d738dfe8e2c8a8b337fefa1b1a10ddfad9b62","Each provider can be configured independently.","SHOULD","API","V1","REC","Backend","None stated by the Constitution","Contract and integration tests confirm this statement: “Each provider can be configured independently.”","API Architecture & Integration deliverable (identifier pending ODR-001)","Versioned API contract plus passing contract/integration tests.","Pending independent review","Not started"
"REQ-029.06","REQ-029","Part 3","Provider Integration Framework","L1361","The platform should support independent provider configuration, health monitoring, logging, and error reporting.","62756895e2d2fea97d0df2f7a85d738dfe8e2c8a8b337fefa1b1a10ddfad9b62","Each provider can be health-monitored independently.","SHOULD","Operational","V1","REC","Backend","None stated by the Constitution","Operational execution or recovery evidence confirms this statement: “Each provider can be health-monitored independently.”","Infrastructure, DevOps & Operations deliverable (identifier pending ODR-001)","Runbook/configuration plus execution, monitoring, or recovery evidence.","Pending independent review","Not started"
"REQ-029.07","REQ-029","Part 3","Provider Integration Framework","L1361","The platform should support independent provider configuration, health monitoring, logging, and error reporting.","62756895e2d2fea97d0df2f7a85d738dfe8e2c8a8b337fefa1b1a10ddfad9b62","Each provider has independent logging.","SHOULD","Operational","V1","REC","Backend","None stated by the Constitution","Operational execution or recovery evidence confirms this statement: “Each provider has independent logging.”","Infrastructure, DevOps & Operations deliverable (identifier pending ODR-001)","Runbook/configuration plus execution, monitoring, or recovery evidence.","Pending independent review","Not started"
"REQ-029.08","REQ-029","Part 3","Provider Integration Framework","L1361","The platform should support independent provider configuration, health monitoring, logging, and error reporting.","62756895e2d2fea97d0df2f7a85d738dfe8e2c8a8b337fefa1b1a10ddfad9b62","Each provider has independent error reporting.","SHOULD","Operational","V1","REC","Backend","None stated by the Constitution","Operational execution or recovery evidence confirms this statement: “Each provider has independent error reporting.”","Infrastructure, DevOps & Operations deliverable (identifier pending ODR-001)","Runbook/configuration plus execution, monitoring, or recovery evidence.","Pending independent review","Not started"
"REQ-029.09","REQ-029","Part 3","Provider Integration Framework","L1363","Provider integrations must comply with each provider's published requirements and agreements.","273795a4e4fd4308a935cbc588dba105d7b09025d6228624e8b927eca3d43085","Provider integrations comply with each provider’s published requirements and agreements.","MUST","Compliance","V1","CD","Backend","EFE-001","An acceptance test confirms this statement: “Provider integrations comply with each provider’s published requirements and agreements.”","Security, Fraud & Compliance deliverable (identifier pending ODR-001)","Control mapping, authoritative evidence, and review record.","Pending independent review","Not started"
"REQ-030.01","REQ-030","Part 3","API Management","L1369; L1371","The admin should be able to: || View API status","48c6e35c11f2f20b8e7493892a8b6c0c67a767b3b13b55b85420528a17963c3f","Administrators can view API status.","SHOULD","Operational","V1","REC","Backend/Admin ERP","None stated by the Constitution","Operational execution or recovery evidence confirms this statement: “Administrators can view API status.”","Infrastructure, DevOps & Operations deliverable (identifier pending ODR-001)","Runbook/configuration plus execution, monitoring, or recovery evidence.","Pending independent review","Not started"
"REQ-030.02","REQ-030","Part 3","API Management","L1369; L1373","The admin should be able to: || Enable or disable integrations","45a38bbe6cd2f5276190e1a3aae158122b332cc8f33520fa989a704d49da3b38","Administrators can enable or disable integrations.","SHOULD","Operational","V1","REC","Backend/Admin ERP","None stated by the Constitution","Operational execution or recovery evidence confirms this statement: “Administrators can enable or disable integrations.”","Infrastructure, DevOps & Operations deliverable (identifier pending ODR-001)","Runbook/configuration plus execution, monitoring, or recovery evidence.","Pending independent review","Not started"
"REQ-030.03","REQ-030","Part 3","API Management","L1369; L1375","The admin should be able to: || View synchronization logs","6ca1f5f4dd8d2417b565e818e853eee55561584c8cc2db88ab7f8f3a10396b5c","Administrators can view synchronization logs.","SHOULD","Operational","V1","REC","Backend/Admin ERP","None stated by the Constitution","Operational execution or recovery evidence confirms this statement: “Administrators can view synchronization logs.”","Infrastructure, DevOps & Operations deliverable (identifier pending ODR-001)","Runbook/configuration plus execution, monitoring, or recovery evidence.","Pending independent review","Not started"
"REQ-030.04","REQ-030","Part 3","API Management","L1369; L1377","The admin should be able to: || Monitor failures","c18ddf7be9dcfb58e6d9e4503ff1a24dfe6da4752353275cba469e9c99ba7cdd","Administrators can monitor integration failures.","SHOULD","Operational","V1","REC","Backend/Admin ERP","None stated by the Constitution","Operational execution or recovery evidence confirms this statement: “Administrators can monitor integration failures.”","Infrastructure, DevOps & Operations deliverable (identifier pending ODR-001)","Runbook/configuration plus execution, monitoring, or recovery evidence.","Pending independent review","Not started"
"REQ-030.05","REQ-030","Part 3","API Management","L1369; L1379","The admin should be able to: || Retry synchronization jobs","149813c4129b70eee600ad864f77580305a2acd705bb8cf216329185f99254f0","Administrators can retry synchronization jobs.","SHOULD","Operational","V1","REC","Backend/Admin ERP","None stated by the Constitution","Operational execution or recovery evidence confirms this statement: “Administrators can retry synchronization jobs.”","Infrastructure, DevOps & Operations deliverable (identifier pending ODR-001)","Runbook/configuration plus execution, monitoring, or recovery evidence.","Pending independent review","Not started"
"REQ-030.06","REQ-030","Part 3","API Management","L1369; L1381","The admin should be able to: || View response times","ef08f7249acb672671066ef66bd052425a66bf917390fced7025c0aabdc17ef3","Administrators can view API response times.","SHOULD","Operational","V1","REC","Backend/Admin ERP","None stated by the Constitution","Operational execution or recovery evidence confirms this statement: “Administrators can view API response times.”","Infrastructure, DevOps & Operations deliverable (identifier pending ODR-001)","Runbook/configuration plus execution, monitoring, or recovery evidence.","Pending independent review","Not started"
"REQ-030.07","REQ-030","Part 3","API Management","L1369; L1383","The admin should be able to: || Receive alerts on repeated failures","f8e67ea0ff1a4384a8a15da21a92fef05881f8b17f56cfd1bce795f5b6668257","Administrators receive alerts for repeated integration failures.","SHOULD","Operational","V1","REC","Backend/Admin ERP","None stated by the Constitution","Operational execution or recovery evidence confirms this statement: “Administrators receive alerts for repeated integration failures.”","Infrastructure, DevOps & Operations deliverable (identifier pending ODR-001)","Runbook/configuration plus execution, monitoring, or recovery evidence.","Pending independent review","Not started"
"REQ-031.01","REQ-031","Part 3","Transactional Email System","L1389; L1391","Support transactional emails for: || Email verification","9d0742039a46ee3fe4386913e9c7da0744dae6b687cb8776fbc9a9fb0c3e4427","Transactional email supports email verification.","MUST","Functional","V1","CBR","Backend","None stated by the Constitution","An acceptance test confirms this statement: “Transactional email supports email verification.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Passing functional test and relevant audit/event record where applicable.","Pending independent review","Not started"
"REQ-031.02","REQ-031","Part 3","Transactional Email System","L1389; L1393","Support transactional emails for: || Password reset","99dda5962649d4f21366db2b191fedd6d9f15f21039e9f7a8d9024e42f33f68e","Transactional email supports password reset.","MUST","Functional","V1","CBR","Backend","None stated by the Constitution","An acceptance test confirms this statement: “Transactional email supports password reset.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Passing functional test and relevant audit/event record where applicable.","Pending independent review","Not started"
"REQ-031.03","REQ-031","Part 3","Transactional Email System","L1389; L1395","Support transactional emails for: || Security notifications","0060040d683501d7c4f598e3dabdc7adf248bef931d82ceaeb1be53aa4e16cff","Transactional email supports security notifications.","MUST","Functional","V1","CBR","Backend","None stated by the Constitution","An acceptance test confirms this statement: “Transactional email supports security notifications.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Passing functional test and relevant audit/event record where applicable.","Pending independent review","Not started"
"REQ-031.04","REQ-031","Part 3","Transactional Email System","L1389; L1397","Support transactional emails for: || Withdrawal updates","2cd8a0bbff046658bac5e1431d83873c7e05884f9b2d82fcf7155ecf13f1f324","Transactional email supports withdrawal updates.","MUST","Functional","V1","CBR","Backend","None stated by the Constitution","An acceptance test confirms this statement: “Transactional email supports withdrawal updates.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Passing functional test and relevant audit/event record where applicable.","Pending independent review","Not started"
"REQ-031.05","REQ-031","Part 3","Transactional Email System","L1389; L1399","Support transactional emails for: || Platform announcements","fc69a2904ca7bcffaac1339d3043776c6f7ed61560335503adc709822789f21a","Transactional email supports platform announcements.","MUST","Functional","V1","CBR","Backend","None stated by the Constitution","An acceptance test confirms this statement: “Transactional email supports platform announcements.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Passing functional test and relevant audit/event record where applicable.","Pending independent review","Not started"
"REQ-031.06","REQ-031","Part 3","Transactional Email System","L1389; L1401","Support transactional emails for: || Support ticket updates","0f9f75cfc496a5f2fa28576fd1821c6e39c825718240bea88bd9297e29b9c0fe","Transactional email supports support-ticket updates.","MUST","Functional","V1","CBR","Backend","None stated by the Constitution","An acceptance test confirms this statement: “Transactional email supports support-ticket updates.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Passing functional test and relevant audit/event record where applicable.","Pending independent review","Not started"
"REQ-031.07","REQ-031","Part 3","Transactional Email System","L1403","The AI should evaluate and recommend the most suitable email delivery solution based on reliability, scalability, cost, and free-tier availability.","42c7025c6dc2ff3111a073340e769c7fe3cb2686fdcddee18e55e9650eb28aff","A pre-implementation evaluation recommends an email-delivery solution based on reliability, scalability, cost, and free-tier availability.","SHOULD","Documentation","Pre-implementation deliverable","REC","Backend","EFE-005","The named artifact exists, addresses this statement, and is traceable to the cited lines: “A pre-implementation evaluation recommends an email-delivery solution based on reliability, scalability, cost, and free-tier availability.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Versioned artifact plus reviewer sign-off and citation trace.","Pending independent review","Not started"
"REQ-032.01","REQ-032","Part 3","Audit Logging","L1407–L1409","AUDIT LOGGING / Every important administrative action should be logged.","f092de11b9bf0ddfd09a976d30ed7ee5cdfc3b4533a6aa09ed193798a8e46687","Important administrative actions are logged.","SHOULD","Governance","V1","REC","Backend/Admin ERP","None stated by the Constitution","Workflow and audit evidence confirm this statement: “Important administrative actions are logged.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Approval/audit record showing the required gate or workflow was followed.","Pending independent review","Not started"
"REQ-032.02","REQ-032","Part 3","Audit Logging","L1411–L1425","Examples: / User modifications / Permission changes / Withdrawal approvals / Settings changes / Content updates / Login attempts / Failed authentication events","2a3f7e955516d5bb9748b1a2f26399a709f17580a34046d138a8abf08dc89a82","The audit scope covers user modifications, permission changes, withdrawal approvals, settings changes, content updates, login attempts, and failed authentication events.","SHOULD","Governance","V1","REC","Backend/Admin ERP","None stated by the Constitution","Workflow and audit evidence confirm this statement: “The audit scope covers user modifications, permission changes, withdrawal approvals, settings changes, content updates, login attempts, and failed authentication events.”","Phase 0 documentation/roadmap deliverable (identifier pending ODR-001)","Approval/audit record showing the required gate or workflow was followed.","Pending independent review","Not started"
"REQ-032.03","REQ-032","Part 3","Audit Logging","L1427; L1429","Audit logs should include: || Timestamp","729a6825507c60fb79c8081ade61e330c1b5ea0a27b53333e723a7fe0204963b","Audit logs record a timestamp.","SHOULD","Data","V1","REC","Backend/Admin ERP","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “Audit logs record a timestamp.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-032.04","REQ-032","Part 3","Audit Logging","L1427; L1431","Audit logs should include: || Administrator","1bcaa28051f91905fe4f0fd85f5df0f22aef34d1a9a8fe1e6bf337ad39a013a6","Audit logs record the responsible administrator.","SHOULD","Data","V1","REC","Backend/Admin ERP","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “Audit logs record the responsible administrator.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-032.05","REQ-032","Part 3","Audit Logging","L1427; L1433","Audit logs should include: || Action","a6f2fee2623d087abc687d05de136cf01ca3ede4cfc8a66bf9bc4c6236f2ebda","Audit logs record the action.","SHOULD","Data","V1","REC","Backend/Admin ERP","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “Audit logs record the action.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-032.06","REQ-032","Part 3","Audit Logging","L1427; L1435","Audit logs should include: || Target","b8aa2eb71a0efc791dd9039a56c13c4957706924ed61fba3c793b196fbde16ea","Audit logs record the target.","SHOULD","Data","V1","REC","Backend/Admin ERP","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “Audit logs record the target.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-032.07","REQ-032","Part 3","Audit Logging","L1427; L1437","Audit logs should include: || Reason (where applicable)","580c175ccf62825714f38b262a1fa7382804930b38d5dcf892e88cfe7aec219d","Audit logs record the reason where applicable.","SHOULD","Data","V1","REC","Backend/Admin ERP","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “Audit logs record the reason where applicable.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-032.08","REQ-032","Part 3","Audit Logging","L1427; L1439","Audit logs should include: || IP information if appropriate","85116fb629b7a0bbbf5b26feafc28c8e4da3b9e3356f919efccbaeadb1f3842c","Audit logs record IP information when appropriate.","SHOULD","Data","V1","REC","Backend/Admin ERP","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “Audit logs record IP information when appropriate.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-032.09","REQ-032","Part 3","Audit Logging","L1427; L1441","Audit logs should include: || Outcome","99e92a5c2bf15422c414bf96b96595001a0d47756a8bdf332d1d76ebf302bc7d","Audit logs record the outcome.","SHOULD","Data","V1","REC","Backend/Admin ERP","None stated by the Constitution","Schema, constraint, and data-level tests confirm this statement: “Audit logs record the outcome.”","Database Architecture & Data Model deliverable (identifier pending ODR-001)","Schema/migration evidence plus automated integrity tests.","Pending independent review","Not started"
"REQ-032.10","REQ-032","Part 3","Audit Logging","L1443","Audit records should be searchable.","108642ef9ca3c612c5b6c9da4fc4ebd372b47b8248fefadff738b62a8d637166","Audit records are searchable.","SHOULD","Functional","V1","CBR","Backend/Admin ERP","None stated by the Constitution","An acceptance test confirms this statement: “Audit records are searchable.”","Business/Product/Technical Blueprint (identifier pending ODR-001)","Passing functional test and relevant audit/event record where applicable.","Pending independent review","Not started"
